BHT_SIZE_BITS,PHT_SIZE_BITS,HIST_LEN,trace,instructions,branches,cond_branches,predictions,extra_cycles,short_misp,block_short_misp,mispredictions,p1_latency,p2_latency,energy_per_inst
4,4,4,test,2004999,396599,334545,2004999,118433,0,0,44539,0.593333,0.606667,40
4,4,5,test,2004999,396599,334545,2004999,130261,0,0,48521,0.58,0.593333,42
4,4,6,test,2004999,396599,334545,2004999,141224,0,0,55087,0.583333,0.596667,43
4,4,7,test,2004999,396599,334545,2004999,151676,0,0,58962,0.586667,0.6,45
4,4,8,test,2004999,396599,334545,2004999,228990,0,0,109494,0.586667,0.6,47
4,4,9,test,2004999,396599,334545,2004999,178901,0,0,78554,0.626667,0.64,50
4,4,10,test,2004999,396599,334545,2004999,176492,0,0,71485,0.626667,0.64,51
4,4,11,test,2004999,396599,334545,2004999,179401,0,0,66873,0.626667,0.64,53
4,4,12,test,2004999,396599,334545,2004999,184449,0,0,66308,0.63,0.643333,55
4,5,4,test,2004999,396599,334545,2004999,104696,0,0,38492,0.61,0.623333,42
4,5,5,test,2004999,396599,334545,2004999,115918,0,0,41710,0.643333,0.656667,45
4,5,6,test,2004999,396599,334545,2004999,125758,0,0,48577,0.646667,0.66,48
4,5,7,test,2004999,396599,334545,2004999,136664,0,0,52723,0.65,0.663333,50
4,5,8,test,2004999,396599,334545,2004999,222012,0,0,106814,0.653333,0.666667,53
4,5,9,test,2004999,396599,334545,2004999,162199,0,0,70244,0.68,0.693333,56
4,5,10,test,2004999,396599,334545,2004999,158812,0,0,62625,0.68,0.693333,58
4,5,11,test,2004999,396599,334545,2004999,161460,0,0,57663,0.683333,0.696667,60
4,5,12,test,2004999,396599,334545,2004999,165844,0,0,57305,0.683333,0.696667,62
4,6,4,test,2004999,396599,334545,2004999,100263,0,0,36028,0.633333,0.646667,48
4,6,5,test,2004999,396599,334545,2004999,110959,0,0,39163,0.673333,0.686667,52
4,6,6,test,2004999,396599,334545,2004999,120893,0,0,44079,0.676667,0.69,55
4,6,7,test,2004999,396599,334545,2004999,131976,0,0,48749,0.68,0.693333,58
4,6,8,test,2004999,396599,334545,2004999,222164,0,0,107366,0.68,0.693333,61
4,6,9,test,2004999,396599,334545,2004999,155655,0,0,67271,0.786667,0.8,68
4,6,10,test,2004999,396599,334545,2004999,151663,0,0,58374,0.79,0.803333,71
4,6,11,test,2004999,396599,334545,2004999,153205,0,0,53358,0.793333,0.806667,74
4,6,12,test,2004999,396599,334545,2004999,156818,0,0,52208,0.796667,0.81,77
4,7,4,test,2004999,396599,334545,2004999,98444,0,0,36359,0.663333,0.676667,56
4,7,5,test,2004999,396599,334545,2004999,108977,0,0,42184,0.77,0.783333,65
4,7,6,test,2004999,396599,334545,2004999,119183,0,0,44880,0.773333,0.786667,70
4,7,7,test,2004999,396599,334545,2004999,128910,0,0,49157,0.776667,0.79,75
4,7,8,test,2004999,396599,334545,2004999,216122,0,0,105334,0.783333,0.796667,80
4,7,9,test,2004999,396599,334545,2004999,151534,0,0,67019,0.816667,0.83,83
4,7,10,test,2004999,396599,334545,2004999,149586,0,0,59165,0.82,0.833333,86
4,7,11,test,2004999,396599,334545,2004999,151628,0,0,54982,0.823333,0.836667,90
4,7,12,test,2004999,396599,334545,2004999,155898,0,0,53242,0.823333,0.836667,94
4,8,4,test,2004999,396599,334545,2004999,93238,0,0,33273,0.726667,0.74,70
4,8,5,test,2004999,396599,334545,2004999,103323,0,0,35867,0.756667,0.77,76
